age,gender,no_of_siblings,mother_occupation,mother_monthly_income,father_occupation,father_monthly_income,average_grade_g12,average_grade_first_year,grades_understanding_self,grades_purposive_communication,grades_art_appreciation,grades_sts,grades_environmental_science,grades_intermediate_programming,grades_discrete_mathematics,grades_contemporary_world_with_peace_education,grades_mathematics_in_the_modern_world,grades_introduction_computing,grades_fundamentals_of_programming,study_hours,study_strategies,regular_study_schedule,attendance_rate,class_participation,time_management_rating,study_deadlines_frequency,motivation_level,engagement_level,stress_frequency,coping_effectiveness,graduate_on_time
20,M,1,Housewife,0,Factory Driver,14000,82,85.1,90.0,78.0,80.0,79.0,78.0,83.0,98.0,88.5,80.0,86.0,96.0,5-10 hours,Sometimes,0,Less than 50%,Very actively,Excellent,Often,Moderately motivated,Moderately engaged,Sometimes,Moderately effective,1
18,F,2,Teacher,21000,Factory Worker,10000,77,81.0,85.0,90.0,70.0,90.0,85.0,93.0,98.0,0.0,89.0,95.0,96.0,5-10 hours,Often,0,Less than 50%,Not at all,Excellent,Often,Very motivated,Very engaged,Never,Very effective,1
20,F,1,HR,23000,Sales Associate,12000,88,85.3,76.0,85.0,81.0,76.0,96.0,91.0,82.0,94.0,85.0,78.0,94.0,Less than 5 hours,Often,0,71-90%,Extremely actively,Poor,Always,Moderately motivated,Extremely engaged,Sometimes,Extremely effective,1
19,M,3,Housewife,0,Customer Service Representative,20000,76,82.2,70.0,76.0,84.0,90.0,89.0,78.0,98.0,98.0,76.0,75.0,70.0,16-20 hours,Never,1,71-90%,Not at all,Poor,Sometimes,Extremely motivated,Very engaged,Often,Very effective,1
21,M,0,Cashier,15000,Plumber,15000,90,85.0,77.0,76.0,72.0,84.0,84.0,94.0,98.0,94.0,85.0,77.0,94.0,5-10 hours,Always,1,Less than 50%,Extremely actively,Fair,Always,Extremely motivated,Extremely engaged,Often,Not effective,1
20,M,1,Factory Worker,8500,Warehouse Staff,11000,94,83.5,73.0,83.0,90.0,78.0,77.0,90.0,77.0,88.0,96.0,75.0,91.0,5-10 hours,Often,0,Less than 50%,Slightly,Poor,Always,Very motivated,Very engaged,Often,Extremely effective,1
18,M,2,Housewife,0,Call Center Agent,21000,71,86.3,94.0,93.0,96.0,78.0,80.0,93.0,85.0,95.5,75.0,76.0,84.0,5-10 hours,Sometimes,1,Less than 50%,Slightly,Good,Sometimes,Not motivated,Slightly engaged,Often,Very effective,1
19,M,4,Sales Assistant,9000,Maintenance Worker,14000,97,84.2,72.0,74.0,89.0,90.0,73.0,76.0,82.0,97.5,96.0,83.0,94.0,Less than 5 hours,Always,0,71-90%,Not at all,Good,Always,Extremely motivated,Very engaged,Sometimes,Not effective,1
20,M,0,Housewife,0,Delivery Rider,12000,82,79.0,87.0,95.0,78.0,88.0,83.0,81.0,98.0,0.0,89.0,95.0,75.0,More than 20 hours,Often,1,More than 90%,Very actively,Good,Often,Not motivated,Very engaged,Rarely,Very effective,1
18,F,1,Government Official,20000,Janitor,7000,88,84.7,78.0,87.0,85.0,86.0,91.0,72.0,92.0,93.0,75.0,95.0,78.0,Less than 5 hours,Often,0,Less than 50%,Not at all,Good,Often,Very motivated,Moderately engaged,Often,Extremely effective,1
19,M,2,Tailor,11000,Office Staff,16000,95,82.2,70.0,82.0,84.0,89.0,79.0,76.0,77.0,91.0,76.0,88.0,92.0,More than 20 hours,Never,1,71-90%,Not at all,Good,Often,Not motivated,Very engaged,Often,Very effective,1
20,F,1,Yaya,8000,Waiter,8000,93,82.8,78.0,81.0,96.0,84.0,81.0,77.0,84.0,85.0,84.0,76.0,85.0,5-10 hours,Sometimes,0,Less than 50%,Slightly,Excellent,Always,Very motivated,Extremely engaged,Never,Extremely effective,1
21,M,5,Housewife,0,Retail Salesperson,13000,76,83.0,82.0,71.0,85.0,83.0,71.0,85.0,92.0,95.0,91.0,76.0,82.0,5-10 hours,Always,0,71-90%,Slightly,Poor,Always,Very motivated,Very engaged,Never,Very effective,1
19,F,0,Sales Clerk,17000,Graphic Designer,22000,89,82.4,70.0,83.0,83.0,70.0,86.0,85.0,82.0,85.0,89.0,95.0,78.0,16-20 hours,Sometimes,0,More than 90%,Slightly,Poor,Always,Extremely motivated,Slightly engaged,Never,Very effective,1
18,F,1,Housewife,0,Government Official,19000,90,85.5,90.0,83.0,83.0,73.0,88.0,97.0,82.0,91.0,92.0,77.0,85.0,16-20 hours,Often,1,50-70%,Very actively,Fair,Often,Very motivated,Very engaged,Never,Very effective,1
20,M,2,Housewife,0,Street Vendor,7000,86,82.0,79.0,81.0,96.0,91.0,81.0,76.0,80.0,95.0,76.0,77.0,70.0,16-20 hours,Often,0,Less than 50%,Very actively,Fair,Often,Moderately motivated,Moderately engaged,Never,Not effective,1
19,F,4,Security Guard,15000,Construction Worker,14000,81,83.0,70.0,77.0,88.0,86.0,88.0,76.0,96.0,93.0,85.0,79.0,75.0,Less than 5 hours,Often,0,Less than 50%,Not at all,Fair,Always,Very motivated,Slightly engaged,Never,Very effective,1
21,M,0,Teacher,19000,Mechanic,12000,97,82.4,75.0,76.0,85.0,86.0,80.0,79.0,80.0,91.5,96.0,76.0,82.0,Less than 5 hours,Often,1,Less than 50%,Slightly,Fair,Sometimes,Very motivated,Moderately engaged,Rarely,Very effective,1
20,M,1,Housewife,0,Electrician,11000,84,83.2,75.0,80.0,89.0,77.0,86.0,76.0,92.0,92.0,82.0,76.0,90.0,Less than 5 hours,Rarely,0,71-90%,Not at all,Poor,Sometimes,Very motivated,Slightly engaged,Never,Moderately effective,1
18,M,3,Delivery Rider,9000,Security Guard,14000,93,80.4,75.0,72.0,96.0,77.0,76.0,76.0,77.0,94.0,84.0,82.0,75.0,16-20 hours,Always,1,71-90%,Very actively,Excellent,Often,Very motivated,Extremely engaged,Rarely,Moderately effective,1
19,M,1,HR,21000,Jeepney Driver,15000,78,82.1,76.0,85.0,85.0,90.0,60.0,90.0,77.0,90.0,78.0,76.0,96.0,Less than 5 hours,Sometimes,0,71-90%,Slightly,Good,Sometimes,Very motivated,Slightly engaged,Often,Extremely effective,1
20,M,0,Factory Worker,10000,Tricycle Driver,8000,82,84.3,76.0,85.0,86.0,81.0,95.0,85.0,84.0,93.0,80.0,80.0,82.0,More than 20 hours,Sometimes,1,50-70%,Moderately,Excellent,Always,Very motivated,Slightly engaged,Rarely,Moderately effective,1
18,M,1,Housewife,0,Househusband,0,76,85.0,92.0,80.0,81.0,73.0,88.0,83.0,82.0,91.5,91.0,93.0,80.0,11-15 hours,Sometimes,0,More than 90%,Slightly,Poor,Always,Extremely motivated,Very engaged,Sometimes,Very effective,1
19,F,2,Street Vendor,12000,PUV Driver,11000,77,81.6,82.0,78.0,89.0,88.0,90.0,90.0,77.0,62.5,77.0,87.0,77.0,16-20 hours,Often,0,More than 90%,Not at all,Good,Rarely,Extremely motivated,Very engaged,Often,Very effective,1
20,F,4,Cashier,12000,Factory Driver,12000,90,83.5,92.0,96.0,70.0,85.0,70.0,82.0,77.0,92.0,76.0,82.0,96.0,11-15 hours,Always,1,71-90%,Slightly,Excellent,Sometimes,Extremely motivated,Very engaged,Never,Very effective,1
21,M,0,Waitress,10000,Factory Worker,13000,95,86.6,78.0,92.0,90.0,85.0,88.0,99.0,80.0,89.0,85.0,90.0,77.0,5-10 hours,Sometimes,1,71-90%,Very actively,Good,Sometimes,Not motivated,Very engaged,Often,Very effective,1
19,M,1,Laundry Personnel,17500,Sales Associate,10000,89,84.5,79.0,83.0,81.0,84.0,86.0,86.0,77.0,95.0,78.0,87.0,94.0,5-10 hours,Often,0,Less than 50%,Very actively,Fair,Always,Extremely motivated,Slightly engaged,Often,Very effective,1
18,F,2,Housewife,0,Customer Service Representative,15000,86,83.1,78.0,78.0,80.0,77.0,78.0,82.0,77.0,90.5,91.0,89.0,94.0,11-15 hours,Never,0,More than 90%,Very actively,Excellent,Always,Moderately motivated,Extremely engaged,Sometimes,Extremely effective,1
20,F,1,Government Official,19000,Plumber,12000,94,83.7,87.0,93.0,77.0,76.0,77.0,83.0,93.0,86.0,80.0,75.0,94.0,5-10 hours,Sometimes,1,More than 90%,Slightly,Good,Often,Not motivated,Extremely engaged,Rarely,Extremely effective,1
19,M,5,Housewife,0,Warehouse Staff,13000,78,84.3,76.0,79.0,83.0,84.0,82.0,99.0,81.0,93.5,96.0,77.0,77.0,5-10 hours,Rarely,0,71-90%,Slightly,Good,Always,Extremely motivated,Extremely engaged,Never,Not effective,1
22,F,0,Tailor,9000,Call Center Agent,23000,81,82.2,71.0,89.0,85.0,80.0,84.0,76.0,77.0,97.5,75.0,76.0,94.0,16-20 hours,Sometimes,0,71-90%,Not at all,Excellent,Always,Very motivated,Moderately engaged,Often,Not effective,1
18,F,1,Sales Assistant,10000,Maintenance Worker,15000,88,82.4,89.0,87.0,74.0,83.0,76.0,86.0,82.0,92.0,80.0,70.0,87.0,16-20 hours,Always,1,Less than 50%,Not at all,Poor,Often,Very motivated,Moderately engaged,Often,Moderately effective,1
21,F,4,Teacher,19000,Janitor,9000,97,82.1,70.0,76.0,84.0,86.0,80.0,91.0,96.0,77.5,83.0,76.0,84.0,Less than 5 hours,Often,1,More than 90%,Not at all,Poor,Rarely,Moderately motivated,Moderately engaged,Never,Not effective,1
19,F,0,Housewife,0,Office Staff,12000,84,85.0,78.0,91.0,80.0,88.0,77.0,77.0,93.0,94.5,93.0,70.0,94.0,11-15 hours,Always,1,71-90%,Very actively,Fair,Often,Extremely motivated,Extremely engaged,Often,Very effective,1
18,M,1,Cashier,15000,Waiter,10000,93,83.0,73.0,80.0,87.0,82.0,72.0,77.0,91.0,94.0,84.0,77.0,96.0,5-10 hours,Often,0,Less than 50%,Not at all,Fair,Always,Moderately motivated,Very engaged,Often,Moderately effective,1
20,F,3,Yaya,11000,Retail Salesperson,14000,76,82.2,70.0,87.0,90.0,85.0,90.0,77.0,77.0,94.0,75.0,82.0,77.0,16-20 hours,Sometimes,1,Less than 50%,Moderately,Excellent,Always,Extremely motivated,Very engaged,Often,Very effective,1
19,F,1,Housewife,0,Graphic Designer,19000,90,80.7,79.0,78.0,72.0,74.0,83.0,83.0,98.0,89.0,76.0,79.0,77.0,11-15 hours,Often,0,More than 90%,Very actively,Good,Always,Very motivated,Very engaged,Often,Very effective,1
21,M,0,Security Guard,13000,Government Official,17000,82,81.7,79.0,85.0,85.0,82.0,72.0,84.0,80.0,96.5,76.0,79.0,80.0,5-10 hours,Often,1,Less than 50%,Slightly,Poor,Often,Extremely motivated,Moderately engaged,Never,Very effective,1
20,F,1,Housewife,0,Street Vendor,9000,88,82.6,70.0,82.0,82.0,88.0,84.0,85.0,82.0,93.0,89.0,78.0,76.0,5-10 hours,Always,0,71-90%,Very actively,Excellent,Always,Very motivated,Moderately engaged,Rarely,Extremely effective,1
18,F,2,Delivery Rider,14000,Construction Worker,16000,89,83.2,91.0,75.0,79.0,82.0,84.0,76.0,81.0,96.0,96.0,80.0,75.0,5-10 hours,Often,0,71-90%,Slightly,Good,Always,Very motivated,Slightly engaged,Never,Not effective,1
19,M,4,Sales Clerk,13000,Mechanic,20000,95,83.0,82.0,80.0,77.0,85.0,88.0,80.0,80.0,94.5,82.0,87.0,77.0,5-10 hours,Sometimes,1,More than 90%,Slightly,Excellent,Often,Very motivated,Very engaged,Rarely,Very effective,1
20,M,0,Factory Worker,10000,Electrician,18000,77,85.4,71.0,93.0,80.0,83.0,94.0,94.0,95.0,82.0,75.0,95.0,77.0,Less than 5 hours,Sometimes,0,71-90%,Slightly,Excellent,Always,Not motivated,Very engaged,Rarely,Very effective,1
18,F,1,Housewife,0,Security Guard,12000,81,83.9,87.0,88.0,90.0,73.0,89.0,76.0,82.0,97.5,75.0,85.0,80.0,5-10 hours,Often,0,71-90%,Moderately,Excellent,Rarely,Very motivated,Slightly engaged,Often,Moderately effective,1
19,M,2,Housewife,0,Jeepney Driver,14000,94,80.6,76.0,70.0,81.0,83.0,82.0,80.0,89.0,91.5,76.0,83.0,75.0,More than 20 hours,Rarely,0,71-90%,Moderately,Excellent,Always,Extremely motivated,Very engaged,Often,Very effective,1
20,M,1,HR,18000,Tricycle Driver,7000,93,82.1,81.0,79.0,85.0,89.0,78.0,81.0,79.0,80.0,83.0,93.0,75.0,5-10 hours,Always,1,Less than 50%,Extremely actively,Fair,Sometimes,Very motivated,Very engaged,Rarely,Not effective,1
21,M,5,Waitress,9000,Househusband,0,97,86.9,92.0,88.0,81.0,76.0,89.0,93.0,95.0,95.0,93.0,75.0,79.0,5-10 hours,Always,1,Less than 50%,Not at all,Fair,Always,Extremely motivated,Extremely engaged,Rarely,Very effective,1
19,F,0,Housewife,0,PUV Driver,13000,78,82.5,80.0,80.0,89.0,81.0,80.0,70.0,82.0,88.0,83.0,86.0,88.0,Less than 5 hours,Rarely,0,More than 90%,Very actively,Excellent,Often,Very motivated,Very engaged,Never,Moderately effective,1
