age,gender,no_of_siblings,mother_occupation,mother_monthly_income,father_occupation,father_monthly_income,average_grade_g12,average_grade_first_year,grades_understanding_self,grades_purposive_communication,grades_art_appreciation,grades_sts,grades_environmental_science,grades_intermediate_programming,grades_discrete_mathematics,grades_contemporary_world_with_peace_education,grades_mathematics_in_the_modern_world,grades_introduction_computing,grades_fundamentals_of_programming,study_hours,study_strategies,regular_study_schedule,attendance_rate,class_participation,time_management_rating,study_deadlines_frequency,motivation_level,engagement_level,stress_frequency,coping_effectiveness,graduate_on_time
18,F,3,Security Guard,16000,Sales Associate,16000,97.5,92.3,97.0,97.0,97.0,97.2,94.5,82.5,75.9,91.3,96.9,91.9,94.4,Less than 5 hours,Never,No,More than 90%,Slightly,Fair,Always,Not motivated,Not engaged,Often,Slightly effective,1
22,F,1,Laundry Personnel,8000,Customer Service Representative,22000,93,90.6,97.5,93.4,97.5,85.4,87.8,83.8,82.5,89.7,94.0,91.8,92.9,Less than 5 hours,Sometimes,No,71-90%,Not at all,Good,Rarely,Moderately motivated,Very engaged,Rarely,Moderately effective,1
20,M,4,Delivery Rider,14000,Plumber,16000,90,90.3,94.5,88.7,94.5,90.3,98.6,84.3,84.2,88.9,91.2,88.2,89.7,16-20 hours,Always,Yes,More than 90%,Moderately,Good,Sometimes,Very motivated,Slightly engaged,Sometimes,Very effective,1
19,F,0,Tailor,10500,Warehouse Staff,12000,94,89.8,96.0,92.8,96.0,98.7,85.7,75.8,76.4,89.6,93.6,90.8,92.2,5-10 hours,Often,No,More than 90%,Very actively,Excellent,Always,Extremely motivated,Extremely engaged,Always,Not effective,1
18,M,1,Housewife,0,Call Center Agent,20000,92,89.4,96.0,89.5,96.0,86.1,86.4,79.3,84.1,91.2,91.2,92.2,91.7,Less than 5 hours,Sometimes,No,More than 90%,Slightly,Fair,Often,Slightly motivated,Not engaged,Often,Extremely effective,1
21,M,2,HR,22000,Maintenance Worker,13000,95,92.6,96.0,96.2,96.0,92.6,97.5,83.0,84.6,92.8,92.7,93.7,93.2,5-10 hours,Always,No,More than 90%,Extremely actively,Good,Rarely,Not motivated,Very engaged,Sometimes,Very effective,1
20,F,1,Street Vendor,15000,Delivery Rider,14000,89,92.0,96.0,92.3,96.0,89.9,92.9,78.0,83.8,95.2,96.3,95.5,95.9,5-10 hours,Rarely,Yes,More than 90%,Very actively,Very Good,Always,Very motivated,Moderately engaged,Always,Moderately effective,1
19,M,5,Housewife,0,Janitor,9000,96,87.5,89.5,86.9,89.5,97.8,91.1,80.5,75.8,82.8,93.8,85.3,89.5,Less than 5 hours,Never,Yes,More than 90%,Moderately,Poor,Sometimes,Extremely motivated,Extremely engaged,Often,Slightly effective,0
18,F,0,Teacher,17500,Office Staff,15000,97,89.8,94.5,93.5,94.5,96.3,86.9,81.3,75.5,87.3,91.8,93.5,92.6,11-15 hours,Often,No,71-90%,Not at all,Good,Often,Moderately motivated,Moderately engaged,Rarely,Moderately effective,1
20,M,1,Sales Clerk,11000,Waiter,11000,91,90.2,91.5,91.0,91.5,91.0,95.6,86.4,87.2,80.2,92.5,93.0,92.8,11-15 hours,Sometimes,No,More than 90%,Slightly,Fair,Always,Very motivated,Very engaged,Sometimes,Very effective,1
21,M,4,Housewife,0,Retail Salesperson,14000,96.5,91.7,94.0,85.2,94.0,91.8,94.2,87.5,88.4,90.7,94.9,93.6,94.2,5-10 hours,Always,Yes,More than 90%,Moderately,Excellent,Sometimes,Not motivated,Slightly engaged,Often,Not effective,1
19,M,2,Housewife,0,Graphic Designer,20000,94,90.5,95.0,94.0,95.0,94.5,89.3,86.1,86.6,89.6,90.1,87.1,88.6,Less than 5 hours,Rarely,No,More than 90%,Extremely actively,Very Good,Often,Slightly motivated,Not engaged,Always,Slightly effective,1
18,F,3,Housewife,0,Government Official,18000,95,93.7,97.0,97.1,97.0,93.6,93.9,87.2,87.3,89.6,96.5,95.4,95.9,5-10 hours,Sometimes,Yes,More than 90%,Very actively,Good,Often,Extremely motivated,Moderately engaged,Rarely,Extremely effective,1
20,F,1,Cashier,14000,Street Vendor,10000,90,91.0,95.0,89.7,95.0,88.8,88.5,88.3,86.8,88.4,92.4,94.7,93.5,11-15 hours,Never,No,More than 90%,Moderately,Very Good,Always,Moderately motivated,Very engaged,Sometimes,Very effective,1
19,M,0,Housewife,0,Construction Worker,12000,89,93.9,96.5,94.4,96.5,96.5,96.7,88.8,89.8,92.1,93.9,94.1,94.0,5-10 hours,Always,Yes,More than 90%,Not at all,Excellent,Sometimes,Not motivated,Extremely engaged,Often,Moderately effective,1
22,M,1,Factory Worker,14000,Mechanic,20000,97,91.6,96.0,92.3,96.0,87.5,85.8,87.7,86.5,89.5,96.5,94.8,95.6,More than 20 hours,Sometimes,No,71-90%,Slightly,Poor,Rarely,Slightly motivated,Slightly engaged,Always,Extremely effective,1
18,M,2,Government Official,20000,Electrician,15000,93,90.8,93.0,86.3,93.0,95.1,97.9,86.8,88.2,86.5,90.8,90.4,90.6,Less than 5 hours,Often,No,More than 90%,Very actively,Fair,Often,Very motivated,Not engaged,Rarely,Not effective,1
20,M,4,Teacher,20000,Security Guard,13000,92,90.5,97.0,93.1,97.0,85.5,87.6,86.2,89.1,92.2,90.1,88.6,89.4,Less than 5 hours,Often,Yes,More than 90%,Extremely actively,Good,Always,Very motivated,Moderately engaged,Sometimes,Very effective,1
21,F,0,Housewife,0,Jeepney Driver,9000,91,91.9,97.0,88.4,97.0,91.9,90.7,88.6,88.9,86.8,91.8,96.0,93.9,5-10 hours,Rarely,No,More than 90%,Moderately,Very Good,Sometimes,Not motivated,Very engaged,Always,Slightly effective,1
19,F,1,Yaya,9500,Tricycle Driver,8000,96,91.6,96.0,86.5,96.0,90.8,85.5,88.4,88.5,91.0,95.7,94.4,95.1,5-10 hours,Always,Yes,More than 90%,Slightly,Excellent,Often,Extremely motivated,Extremely engaged,Often,Moderately effective,1
18,M,2,Housewife,0,Househusband,0,95,91.6,94.0,96.5,94.0,88.9,98.8,87.9,88.3,87.2,89.9,91.2,90.6,5-10 hours,Rarely,Yes,More than 90%,Very actively,Poor,Rarely,Moderately motivated,Slightly engaged,Sometimes,Extremely effective,1
20,F,1,Sales Assistant,15000,PUV Driver,10000,90,91.9,93.5,98.1,93.5,98.3,93.3,89.8,87.5,83.3,90.7,91.4,91.1,Less than 5 hours,Never,No,More than 90%,Not at all,Good,Always,Very motivated,Not engaged,Rarely,Very effective,1
19,M,5,Waitress,12000,Factory Driver,15000,97.5,90.9,92.5,88.9,92.5,86.3,91.2,88.5,89.6,87.9,93.9,94.2,94.0,11-15 hours,Sometimes,No,More than 90%,Extremely actively,Very Good,Often,Not motivated,Moderately engaged,Often,Not effective,1
21,F,0,Housewife,0,Factory Worker,12000,96,90.5,95.5,92.6,95.5,95.8,94.8,89.1,87.8,79.5,90.2,86.3,88.2,5-10 hours,Often,No,More than 90%,Slightly,Fair,Always,Extremely motivated,Very engaged,Always,Moderately effective,1
18,F,1,Security Guard,14500,Sales Associate,14000,93,90.1,95.0,90.1,95.0,93.3,88.2,89.2,90.2,81.2,90.6,88.5,89.5,Less than 5 hours,Sometimes,Yes,71-90%,Moderately,Good,Sometimes,Slightly motivated,Slightly engaged,Sometimes,Slightly effective,1
20,M,2,Laundry Personnel,8000,Customer Service Representative,18000,89,93.1,94.0,96.1,94.0,96.9,86.1,90.1,91.5,92.6,95.1,93.7,94.4,5-10 hours,Often,Yes,More than 90%,Very actively,Very Good,Rarely,Slightly motivated,Extremely engaged,Often,Very effective,1
19,M,4,Housewife,0,Plumber,13000,97,82.9,71.0,89.1,71.0,94.0,91.8,90.4,90.1,69.1,87.9,75.4,81.7,11-15 hours,Always,No,More than 90%,Not at all,Excellent,Always,Moderately motivated,Very engaged,Rarely,Not effective,0
18,F,3,Delivery Rider,10000,Warehouse Staff,10000,92,94.1,96.5,97.5,96.5,89.5,95.5,90.9,91.7,90.8,94.5,96.1,95.3,Less than 5 hours,Rarely,No,More than 90%,Slightly,Fair,Often,Very motivated,Not engaged,Always,Extremely effective,1
22,F,1,HR,21000,Call Center Agent,22000,90,93.8,96.5,95.0,96.5,92.8,92.5,91.0,91.4,91.3,95.4,94.2,94.8,5-10 hours,Sometimes,Yes,More than 90%,Moderately,Excellent,Sometimes,Extremely motivated,Moderately engaged,Sometimes,Moderately effective,1
20,F,0,Tailor,15000,Maintenance Worker,11000,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less than 5 hours,Often,No,More than 90%,Extremely actively,Very Good,Rarely,Not motivated,Extremely engaged,Often,Very effective,0
19,F,1,Housewife,0,Delivery Rider,13000,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5-10 hours,Rarely,Yes,More than 90%,Very actively,Good,Often,Moderately motivated,Slightly engaged,Always,Slightly effective,0
21,M,2,Sales Clerk,12500,Janitor,10000,95,90.0,94.0,91.9,94.0,85.2,89.8,92.2,92.4,82.8,90.8,88.0,89.4,16-20 hours,Never,No,More than 90%,Slightly,Excellent,Always,Very motivated,Very engaged,Rarely,Slightly effective,1
18,F,4,Teacher,19000,Office Staff,14000,97,92.0,95.0,90.6,95.0,90.2,93.0,90.3,92.1,87.5,92.8,93.0,92.9,11-15 hours,Always,No,More than 90%,Moderately,Very Good,Rarely,Slightly motivated,Moderately engaged,Sometimes,Not effective,1
19,F,1,Yaya,9000,Retail Salesperson,16000,89,93.5,97.0,97.2,97.0,95.3,87.4,92.3,91.2,89.0,93.1,94.5,94.7,More than 20 hours,Often,No,More than 90%,Not at all,Excellent,Always,Very motivated,Very engaged,Often,Extremely effective,1
18,M,3,Housewife,0,Graphic Designer,18000,93,89.9,92.0,85.3,92.0,91.4,86.7,92.1,92.3,88.0,91.5,88.0,89.2,11-15 hours,Often,No,More than 90%,Very actively,Fair,Sometimes,Not motivated,Extremely engaged,Rarely,Not effective,1
20,M,1,Security Guard,0,Government Official,20000,92,93.7,97.5,89.4,97.5,85.3,94.7,93.2,92.6,93.0,97.1,94.4,95.5,5-10 hours,Rarely,Yes,More than 90%,Slightly,Poor,Always,Slightly motivated,Slightly engaged,Sometimes,Very effective,1
21,F,0,Factory Worker,10500,Street Vendor,8000,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less than 5 hours,Sometimes,No,More than 90%,Moderately,Very Good,Sometimes,Moderately motivated,Moderately engaged,Often,Moderately effective,0
19,F,2,Housewife,0,Construction Worker,18000,95,93.3,96.5,93.2,96.5,89.4,88.8,94.5,93.9,93.0,90.2,94.9,95.5,5-10 hours,Always,Yes,More than 90%,Extremely actively,Good,Often,Very motivated,Very engaged,Always,Slightly effective,1
18,M,1,Housewife,0,Mechanic,16000,90,92.7,94.5,91.7,94.5,92.0,97.0,94.8,94.1,91.5,90.1,82.7,96.7,11-15 hours,Never,No,71-90%,Very actively,Fair,Always,Not motivated,Not engaged,Rarely,Extremely effective,1
20,M,5,Cashier,15000,Electrician,12000,97,91.6,94.0,94.8,94.0,97.5,90.0,93.8,93.1,88.5,88.0,83.2,91.3,5-10 hours,Rarely,No,More than 90%,Not at all,Excellent,Rarely,Extremely motivated,Extremely engaged,Sometimes,Very effective,1
19,M,0,Waitress,11500,Security Guard,15000,97.5,91.8,94.5,93.9,94.5,88.5,85.3,93.1,94.9,87.5,92.9,88.1,96.6,5-10 hours,Sometimes,No,More than 90%,Slightly,Good,Often,Moderately motivated,Slightly engaged,Often,Moderately effective,1
21,M,1,Government Official,20000,Jeepney Driver,11000,96.5,90.8,93.5,90.0,93.5,94.1,88.3,94.2,94.5,88.5,88.0,82.0,91.8,Less than 5 hours,Always,Yes,More than 90%,Moderately,Very Good,Sometimes,Very motivated,Moderately engaged,Always,Slightly effective,1
22,M,2,Laundry Personnel,15000,Tricycle Driver,9000,93,92.4,93.0,85.5,93.0,98.0,98.1,95.0,96.7,87.0,93.3,81.8,95.3,Less than 5 hours,Often,Yes,More than 90%,Extremely actively,Fair,Always,Slightly motivated,Very engaged,Sometimes,Not effective,1
18,F,4,Delivery Rider,18000,Househusband,0,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5-10 hours,Never,No,More than 90%,Very actively,Poor,Rarely,Extremely motivated,Not engaged,Rarely,Moderately effective,0
19,F,0,Street Vendor,15000,PUV Driver,13000,95,93.8,96.0,91.8,96.0,93.4,91.5,96.8,97.2,91.0,87.7,95.4,94.6,11-15 hours,Sometimes,Yes,71-90%,Not at all,Excellent,Always,Not motivated,Extremely engaged,Often,Very effective,1
20,M,1,Housewife,0,Factory Driver,14000,89,93.7,93.5,95.9,93.5,91.5,97.3,97.5,97.0,88.5,93.5,90.4,91.8,Less than 5 hours,Always,No,More than 90%,Moderately,Good,Often,Moderately motivated,Slightly engaged,Always,Not effective,1
18,F,2,Teacher,21000,Factory Worker,10000,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5-10 hours,Often,No,More than 90%,Slightly,Very Good,Sometimes,Very motivated,Moderately engaged,Sometimes,Slightly effective,0
20,F,1,HR,23000,Sales Associate,12000,90,94.1,97.0,90.5,97.0,92.5,89.5,95.8,96.2,94.0,94.9,91.8,95.7,5-10 hours,Rarely,No,More than 90%,Very actively,Fair,Often,Extremely motivated,Very engaged,Rarely,Very effective,1
19,M,3,Housewife,0,Customer Service Representative,20000,91,94.7,97.5,87.0,97.5,86.8,95.2,93.5,97.8,98.0,94.8,96.7,97.0,Less than 5 hours,Often,Yes,More than 90%,Extremely actively,Excellent,Always,Not motivated,Not engaged,Often,Extremely effective,1
21,M,0,Cashier,15000,Plumber,15000,97,94.0,95.5,93.3,95.5,90.0,88.4,96.9,96.6,94.0,96.8,91.4,96.2,11-15 hours,Sometimes,Yes,More than 90%,Not at all,Poor,Rarely,Slightly motivated,Slightly engaged,Always,Moderately effective,1
20,M,1,Factory Worker,8500,Warehouse Staff,11000,93,93.1,95.0,96.4,95.0,94.8,89.1,96.4,97.3,88.0,91.6,88.5,92.2,5-10 hours,Always,No,More than 90%,Slightly,Good,Sometimes,Very motivated,Moderately engaged,Rarely,Slightly effective,1
18,M,2,Housewife,0,Call Center Agent,21000,96,95.1,95.5,98.8,95.5,98.1,92.7,97.8,97.5,95.5,91.6,91.8,91.4,11-15 hours,Rarely,Yes,71-90%,Moderately,Very Good,Often,Moderately motivated,Extremely engaged,Sometimes,Very effective,1
19,M,4,Sales Assistant,9000,Maintenance Worker,14000,89,96.4,98.0,88.2,98.0,93.1,98.3,98.1,98.3,97.5,97.3,97.9,95.7,5-10 hours,Often,No,More than 90%,Very actively,Good,Always,Extremely motivated,Very engaged,Always,Not effective,1
20,M,0,Housewife,0,Delivery Rider,12000,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-15 hours,Sometimes,Yes,More than 90%,Extremely actively,Excellent,Rarely,Not motivated,Not engaged,Often,Slightly effective,0
18,F,1,Government Official,20000,Janitor,7000,96,93.1,92.0,95.5,92.0,85.1,87.9,98.2,98.9,93.0,93.8,93.8,93.9,More than 20 hours,Always,No,More than 90%,Not at all,Very Good,Sometimes,Very motivated,Slightly engaged,Sometimes,Extremely effective,1
19,M,2,Tailor,11000,Office Staff,16000,92,92.1,94.0,86.8,94.0,85.8,86.6,98.6,96.8,91.0,89.8,95.5,94.3,5-10 hours,Rarely,Yes,More than 90%,Slightly,Poor,Often,Slightly motivated,Moderately engaged,Rarely,Moderately effective,1
20,F,1,Yaya,8000,Waiter,8000,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16-20 hours,Never,No,More than 90%,Very actively,Fair,Always,Extremely motivated,Very engaged,Often,Very effective,0
21,M,5,Housewife,0,Retail Salesperson,13000,97,96.3,97.5,98.2,97.5,97.9,86.5,98.3,98.1,95.0,97.5,97.3,95.5,5-10 hours,Often,No,More than 90%,Moderately,Excellent,Sometimes,Moderately motivated,Extremely engaged,Always,Extremely effective,1
19,F,0,Sales Clerk,17000,Graphic Designer,22000,93,92.6,94.0,98.6,94.0,95.0,96.3,95.3,96.9,85.0,88.3,88.4,87.1,Less than 5 hours,Never,No,More than 90%,Extremely actively,Very Good,Often,Very motivated,Not engaged,Sometimes,Not effective,1
18,F,1,Housewife,0,Government Official,19000,94,92.6,96.0,97.8,96.0,87.7,91.7,96.0,95.8,91.0,90.6,85.2,90.5,5-10 hours,Rarely,Yes,More than 90%,Very actively,Poor,Always,Slightly motivated,Moderately engaged,Rarely,Slightly effective,1
20,M,2,Housewife,0,Street Vendor,7000,97.5,93.1,96.0,87.6,96.0,88.4,90.1,95.2,94.8,95.0,94.4,91.4,95.4,Less than 5 hours,Always,No,71-90%,Not at all,Good,Rarely,Not motivated,Very engaged,Always,Very effective,1
19,F,4,Security Guard,15000,Construction Worker,14000,91,93.6,97.0,92.0,97.0,91.1,88.0,97.0,95.4,93.0,95.3,89.7,94.0,11-15 hours,Often,No,More than 90%,Moderately,Very Good,Often,Not motivated,Slightly engaged,Often,Moderately effective,1
21,M,0,Teacher,19000,Mechanic,12000,89,92.7,95.0,85.4,95.0,88.6,97.7,96.5,94.6,91.5,92.1,88.6,94.8,Less than 5 hours,Never,Yes,More than 90%,Slightly,Excellent,Sometimes,Extremely motivated,Extremely engaged,Always,Very effective,1
20,M,1,Housewife,0,Electrician,11000,96,93.1,95.5,95.3,95.5,97.1,85.1,95.7,93.8,92.0,92.4,88.0,94.3,Less than 5 hours,Sometimes,No,More than 90%,Very actively,Fair,Always,Slightly motivated,Moderately engaged,Sometimes,Extremely effective,1
18,M,3,Delivery Rider,9000,Security Guard,14000,92,93.9,97.0,92.9,97.0,85.9,90.5,98.5,90.3,94.0,96.3,96.8,93.6,Less than 5 hours,Rarely,Yes,More than 90%,Extremely actively,Good,Often,Very motivated,Very engaged,Rarely,Not effective,1
19,M,1,HR,21000,Jeepney Driver,15000,95,91.2,92.5,95.1,92.5,86.7,95.4,95.6,89.3,90.0,91.4,84.2,90.0,11-15 hours,Often,No,More than 90%,Not at all,Excellent,Rarely,Moderately motivated,Extremely engaged,Often,Slightly effective,1
20,M,0,Factory Worker,10000,Tricycle Driver,8000,90,93.9,97.5,97.8,97.5,95.7,93.5,93.4,89.5,93.0,95.1,84.6,95.8,More than 20 hours,Rarely,Yes,More than 90%,Moderately,Poor,Always,Very motivated,Not engaged,Always,Moderately effective,1
18,M,1,Housewife,0,Househusband,0,93,92.2,95.0,86.1,95.0,93.2,87.5,92.9,89.7,91.5,93.7,95.4,94.5,16-20 hours,Always,No,More than 90%,Slightly,Very Good,Sometimes,Extremely motivated,Slightly engaged,Sometimes,Extremely effective,1
19,F,2,Street Vendor,12000,PUV Driver,11000,94,84.9,73.5,96.3,73.5,87.8,86.8,92.6,86.0,62.5,91.7,87.8,95.6,11-15 hours,Sometimes,No,71-90%,Extremely actively,Good,Always,Not motivated,Moderately engaged,Rarely,Very effective,0
20,F,4,Cashier,12000,Factory Driver,12000,96,92.1,97.0,85.4,97.0,85.7,91.0,92.4,86.9,92.0,92.7,96.4,96.6,Less than 5 hours,Often,Yes,More than 90%,Very actively,Excellent,Often,Moderately motivated,Very engaged,Often,Not effective,1
21,M,0,Waitress,10000,Factory Worker,13000,97,90.3,91.5,87.4,91.5,90.6,93.6,89.5,91.1,89.0,90.2,87.0,91.5,16-20 hours,Always,Yes,More than 90%,Moderately,Fair,Sometimes,Slightly motivated,Slightly engaged,Always,Slightly effective,1
19,M,1,Laundry Personnel,17500,Sales Associate,10000,91,92.4,94.5,86.3,94.5,92.4,95.8,90.2,85.2,95.0,93.0,94.8,95.3,5-10 hours,Sometimes,No,More than 90%,Not at all,Very Good,Rarely,Not motivated,Extremely engaged,Rarely,Moderately effective,1
18,F,2,Housewife,0,Customer Service Representative,15000,90,92.9,96.5,92.1,96.5,94.2,90.9,88.9,90.4,90.5,93.2,93.9,95.0,5-10 hours,Often,No,More than 90%,Slightly,Good,Always,Very motivated,Moderately engaged,Sometimes,Very effective,1
20,F,1,Government Official,19000,Plumber,12000,89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Less than 5 hours,Never,Yes,More than 90%,Extremely actively,Poor,Often,Extremely motivated,Not engaged,Often,Slightly effective,0
19,M,5,Housewife,0,Warehouse Staff,13000,93,93.0,96.0,94.9,96.0,93.9,89.2,90.8,88.7,93.5,94.0,90.5,95.6,5-10 hours,Rarely,No,More than 90%,Very actively,Excellent,Always,Moderately motivated,Very engaged,Always,Not effective,1
22,F,0,Tailor,9000,Call Center Agent,23000,89,93.9,97.5,96.3,97.5,94.6,93.8,88.2,86.4,97.5,92.2,92.3,96.1,5-10 hours,Sometimes,No,More than 90%,Moderately,Very Good,Sometimes,Very motivated,Slightly engaged,Sometimes,Very effective,1
18,F,1,Sales Assistant,10000,Maintenance Worker,15000,94,91.5,95.5,91.1,95.5,90.5,91.3,90.6,85.8,92.0,92.3,88.8,92.9,11-15 hours,Always,Yes,More than 90%,Not at all,Good,Often,Not motivated,Extremely engaged,Rarely,Slightly effective,1
21,F,4,Teacher,19000,Janitor,9000,96,87.7,88.5,93.8,88.5,96.0,92.4,91.8,88.0,77.5,85.5,81.9,81.0,11-15 hours,Rarely,Yes,71-90%,Moderately,Fair,Rarely,Extremely motivated,Very engaged,Always,Extremely effective,0
19,F,0,Housewife,0,Office Staff,12000,97,93.6,95.5,94.5,95.5,98.9,98.2,85.5,87.0,94.5,96.0,88.8,95.4,Less than 5 hours,Sometimes,Yes,More than 90%,Very actively,Very Good,Always,Moderately motivated,Moderately engaged,Sometimes,Very effective,1
18,M,1,Cashier,15000,Waiter,10000,96.5,90.1,95.0,88.6,95.0,89.8,87.0,85.7,86.2,94.0,93.5,84.6,92.2,Less than 5 hours,Always,No,More than 90%,Extremely actively,Good,Often,Very motivated,Extremely engaged,Rarely,Moderately effective,1
20,F,3,Yaya,11000,Retail Salesperson,14000,97.5,91.2,94.5,97.3,94.5,93.0,96.1,85.2,86.1,94.0,85.8,87.2,90.0,Less than 5 hours,Often,Yes,More than 90%,Not at all,Excellent,Rarely,Not motivated,Moderately engaged,Often,Not effective,1
19,F,1,Housewife,0,Graphic Designer,19000,90,89.1,92.0,98.3,92.0,88.5,89.6,85.6,86.8,89.0,86.1,82.4,89.7,More than 20 hours,Never,No,More than 90%,Slightly,Poor,Always,Slightly motivated,Very engaged,Always,Very effective,1
21,M,0,Security Guard,13000,Government Official,17000,92,91.9,96.0,97.6,96.0,93.6,85.4,75.9,91.8,96.5,95.9,89.0,93.1,5-10 hours,Rarely,Yes,More than 90%,Very actively,Good,Sometimes,Extremely motivated,Slightly engaged,Sometimes,Slightly effective,1
20,F,1,Housewife,0,Street Vendor,9000,91,91.4,95.5,95.2,95.5,85.1,86.0,75.5,93.2,93.0,96.4,94.4,95.8,5-10 hours,Often,No,More than 90%,Extremely actively,Fair,Often,Very motivated,Not engaged,Often,Not effective,1
18,F,2,Delivery Rider,14000,Construction Worker,16000,93,92.2,97.0,90.4,97.0,91.5,95.7,78.5,85.9,96.0,96.6,88.2,97.0,5-10 hours,Sometimes,No,More than 90%,Moderately,Very Good,Rarely,Not motivated,Moderately engaged,Rarely,Slightly effective,1
19,M,4,Sales Clerk,13000,Mechanic,20000,94,90.5,94.0,95.6,94.0,94.1,85.2,80.0,85.6,94.5,89.7,89.9,92.5,11-15 hours,Rarely,Yes,71-90%,Not at all,Excellent,Always,Moderately motivated,Very engaged,Always,Extremely effective,1
20,M,0,Factory Worker,10000,Electrician,18000,95,85.5,89.0,88.0,89.0,85.8,94.6,82.8,84.9,82.0,85.2,78.0,81.1,Less than 5 hours,Always,No,More than 90%,Slightly,Good,Sometimes,Slightly motivated,Extremely engaged,Sometimes,Slightly effective,0
18,F,1,Housewife,0,Security Guard,12000,96,94.0,96.5,98.9,96.5,97.0,98.5,82.0,85.1,97.5,94.9,93.5,94.2,5-10 hours,Often,No,More than 90%,Moderately,Fair,Always,Very motivated,Slightly engaged,Often,Not effective,1
19,M,2,Housewife,0,Jeepney Driver,14000,89,89.7,96.0,86.8,96.0,93.4,88.9,79.5,84.3,91.5,87.6,93.3,89.2,5-10 hours,Always,No,More than 90%,Very actively,Poor,Often,Extremely motivated,Not engaged,Rarely,Very effective,1
